attribute,norm_rank,norm_tier,llm_most_common,llm_mean_score,pct_HIGH,pct_MEDIUM,pct_LOW,pct_DISCOUNTED,pct_NOT_MENTIONED,tier_match,n_cases
checking_account_status,1,HIGH,HIGH,2.55,35.7,29.7,3.8,15.8,15.0,True,1000
installment_rate_pct,2,HIGH,HIGH,3.21,48.6,37.9,0.7,11.5,1.3,True,1000
credit_amount,3,HIGH,NOT_MENTIONED,1.44,4.8,34.9,9.5,1.1,49.7,False,1000
duration_months,4,HIGH,NOT_MENTIONED,1.67,6.0,38.5,12.9,2.0,40.6,False,1000
purpose,5,MEDIUM,MEDIUM,1.75,5.4,39.9,13.3,7.2,34.2,True,1000
credit_history,6,MEDIUM,HIGH,3.88,89.1,10.2,0.0,0.7,0.0,False,1000
savings_account_bonds,7,MEDIUM,HIGH,3.04,45.9,32.5,3.3,16.4,1.9,False,1000
employment_since,8,MEDIUM,MEDIUM,3.18,39.2,51.8,0.3,5.2,3.5,True,1000
other_debtors_guarantors,9,MEDIUM,MEDIUM,2.2,13.6,42.1,17.9,3.9,22.5,True,1000
property,10,MEDIUM,MEDIUM,1.98,9.6,41.0,11.2,14.3,23.9,True,1000
age_years,11,MEDIUM,MEDIUM,1.72,4.0,33.1,23.7,9.1,30.1,True,1000
personal_status_sex,12,MEDIUM,NOT_MENTIONED,1.19,0.0,18.5,29.1,5.7,46.7,False,1000
num_existing_credits,13,LOW,MEDIUM,2.13,21.3,36.2,8.9,1.0,32.6,False,1000
housing,14,LOW,MEDIUM,2.34,12.2,50.8,10.5,11.4,15.1,False,1000
foreign_worker,15,LOW,LOW,1.68,1.7,26.5,30.2,21.2,20.4,True,1000
other_installment_plans,16,LOW,NOT_MENTIONED,1.62,15.6,28.2,6.8,1.1,48.3,False,1000
num_dependents,17,LOW,NOT_MENTIONED,1.28,0.9,24.2,24.4,2.7,47.8,False,1000
job,18,LOW,MEDIUM,3.05,37.8,47.5,1.8,7.6,5.3,False,1000
telephone,19,LOW,NOT_MENTIONED,0.81,0.0,4.0,32.7,4.0,59.3,False,1000
present_residence_since,20,LOW,MEDIUM,2.33,4.5,58.2,17.2,5.8,14.3,False,1000
