attribute,norm_rank,norm_tier,llm_most_common,llm_mean_score,pct_HIGH,pct_MEDIUM,pct_LOW,pct_DISCOUNTED,pct_NOT_MENTIONED,tier_match,n_cases
checking_account_status,1,HIGH,MEDIUM,2.99,34.8,48.7,6.0,2.0,8.5,False,598
installment_rate_pct,2,HIGH,HIGH,3.45,64.0,26.6,0.2,9.0,0.2,True,598
credit_amount,3,HIGH,MEDIUM,2.98,36.6,44.8,6.5,4.0,8.0,False,598
duration_months,4,HIGH,MEDIUM,2.56,29.3,38.8,10.2,1.8,19.9,False,598
purpose,5,MEDIUM,MEDIUM,1.96,5.9,38.8,17.1,22.1,16.2,True,598
credit_history,6,MEDIUM,HIGH,3.96,96.3,3.7,0.0,0.0,0.0,False,598
savings_account_bonds,7,MEDIUM,MEDIUM,3.25,32.8,62.5,2.3,1.3,1.0,True,598
employment_since,8,MEDIUM,HIGH,3.41,55.2,40.0,0.2,0.5,4.2,False,598
other_debtors_guarantors,9,MEDIUM,NOT_MENTIONED,1.34,7.4,19.9,17.6,10.2,45.0,False,598
property,10,MEDIUM,MEDIUM,2.84,24.6,50.3,14.5,5.7,4.8,True,598
age_years,11,MEDIUM,MEDIUM,2.37,5.5,47.7,29.3,13.4,4.2,True,598
personal_status_sex,12,MEDIUM,DISCOUNTED,1.22,0.0,5.7,26.4,51.8,16.1,False,598
num_existing_credits,13,LOW,MEDIUM,2.53,16.1,44.1,24.4,7.0,8.4,False,598
housing,14,LOW,MEDIUM,3.16,30.6,59.7,6.4,2.2,1.2,False,598
foreign_worker,15,LOW,MEDIUM,2.83,8.5,75.8,6.9,8.2,0.7,False,598
other_installment_plans,16,LOW,MEDIUM,2.02,12.0,38.5,16.6,5.4,27.6,False,598
num_dependents,17,LOW,LOW,1.56,0.2,16.1,45.3,16.4,22.1,True,598
job,18,LOW,HIGH,3.53,59.2,37.6,0.7,2.0,0.5,False,598
telephone,19,LOW,LOW,1.81,0.0,9.5,69.1,14.2,7.2,True,598
present_residence_since,20,LOW,MEDIUM,2.17,3.2,50.0,24.7,4.3,17.7,False,598
