attribute,norm_rank,norm_tier,llm_most_common,llm_mean_score,pct_HIGH,pct_MEDIUM,pct_LOW,pct_DISCOUNTED,pct_NOT_MENTIONED,tier_match,n_cases
checking_account_status,1,HIGH,HIGH,3.94,96.0,3.3,0.0,0.5,0.2,True,600
installment_rate_pct,2,HIGH,HIGH,3.32,48.0,44.2,0.2,7.2,0.5,True,600
credit_amount,3,HIGH,HIGH,3.6,61.0,38.7,0.2,0.0,0.2,True,600
duration_months,4,HIGH,HIGH,3.64,65.8,32.8,0.7,0.5,0.2,True,600
purpose,5,MEDIUM,MEDIUM,1.77,0.0,51.3,10.7,1.7,36.3,True,600
credit_history,6,MEDIUM,HIGH,3.63,63.0,37.0,0.0,0.0,0.0,False,600
savings_account_bonds,7,MEDIUM,MEDIUM,2.82,5.2,85.5,2.3,0.0,7.0,True,600
employment_since,8,MEDIUM,MEDIUM,3.04,5.5,94.0,0.2,0.2,0.2,True,600
other_debtors_guarantors,9,MEDIUM,MEDIUM,2.56,1.8,80.2,3.8,0.2,14.0,True,600
property,10,MEDIUM,MEDIUM,2.54,0.0,71.5,19.8,0.3,8.3,True,600
age_years,11,MEDIUM,LOW,2.03,0.0,36.0,47.2,0.7,16.2,False,600
personal_status_sex,12,MEDIUM,NOT_MENTIONED,1.58,0.0,30.7,32.8,0.2,36.3,False,600
num_existing_credits,13,LOW,LOW,1.94,0.0,1.3,92.5,4.5,1.7,True,600
housing,14,LOW,LOW,2.11,0.0,19.5,72.8,7.2,0.5,True,600
foreign_worker,15,LOW,LOW,1.7,0.0,0.7,69.3,29.2,0.8,True,600
other_installment_plans,16,LOW,NOT_MENTIONED,0.67,0.0,3.3,28.0,0.8,67.8,False,600
num_dependents,17,LOW,LOW,1.37,0.0,2.2,65.3,0.2,32.3,True,600
job,18,LOW,NOT_MENTIONED,1.36,0.5,27.2,25.7,0.7,46.0,False,600
telephone,19,LOW,LOW,1.86,0.0,0.0,89.2,7.2,3.7,True,600
present_residence_since,20,LOW,LOW,1.92,0.0,0.0,93.7,4.3,2.0,True,600
