attribute,norm_rank,norm_tier,llm_most_common,llm_mean_score,pct_HIGH,pct_MEDIUM,pct_LOW,pct_DISCOUNTED,pct_NOT_MENTIONED,tier_match,n_cases
checking_account_status,1,HIGH,HIGH,3.89,91.0,7.0,2.0,0.0,0.0,True,100
installment_rate_pct,2,HIGH,MEDIUM,2.78,9.0,74.0,3.0,14.0,0.0,False,100
credit_amount,3,HIGH,MEDIUM,2.69,9.0,70.0,10.0,3.0,8.0,False,100
duration_months,4,HIGH,MEDIUM,2.81,22.0,56.0,12.0,1.0,9.0,False,100
purpose,5,MEDIUM,MEDIUM,2.52,13.0,54.0,16.0,6.0,11.0,True,100
credit_history,6,MEDIUM,HIGH,3.48,50.0,49.0,0.0,1.0,0.0,False,100
savings_account_bonds,7,MEDIUM,HIGH,3.83,86.0,11.0,3.0,0.0,0.0,False,100
employment_since,8,MEDIUM,MEDIUM,3.39,45.0,52.0,0.0,3.0,0.0,True,100
other_debtors_guarantors,9,MEDIUM,MEDIUM,1.76,4.0,48.0,7.0,2.0,39.0,True,100
property,10,MEDIUM,MEDIUM,2.72,11.0,65.0,16.0,1.0,7.0,True,100
age_years,11,MEDIUM,MEDIUM,1.99,14.0,29.0,23.0,10.0,24.0,True,100
personal_status_sex,12,MEDIUM,NOT_MENTIONED,1.26,2.0,19.0,26.0,9.0,44.0,False,100
num_existing_credits,13,LOW,MEDIUM,2.84,13.0,70.0,11.0,0.0,6.0,False,100
housing,14,LOW,MEDIUM,1.87,3.0,47.0,16.0,2.0,32.0,False,100
foreign_worker,15,LOW,HIGH,3.4,53.0,39.0,4.0,3.0,1.0,False,100
other_installment_plans,16,LOW,NOT_MENTIONED,1.45,10.0,27.0,12.0,0.0,51.0,False,100
num_dependents,17,LOW,MEDIUM,2.33,9.0,44.0,30.0,5.0,12.0,False,100
job,18,LOW,MEDIUM,3.03,30.0,60.0,0.0,3.0,7.0,False,100
telephone,19,LOW,LOW,1.66,3.0,12.0,56.0,6.0,23.0,True,100
present_residence_since,20,LOW,MEDIUM,1.95,5.0,37.0,31.0,2.0,25.0,False,100
